feature,importances_mean
num__mileage_num,5318.084359381168
num__cylinders_num,835.410363431718
num__year_num,414.50865668388013
num__condition,363.9371061991197
cat__make_chevrolet,285.6949866919837
num__fuel,222.15153099562608
cat__make_subaru,122.01161031601274
cat__make_dodge,92.80717839880467
cat__make_ford,91.21883920764935
cat__make_chrysler,55.06341385727628
num__transmission,37.97840645462552
cat__make_land rover,31.961269637343957
cat__make_nissan,26.190805250937093
cat__make_hyundai,23.355243588974872
cat__make_mercedes-benz,20.52851164541421
cat__make_ram,14.144407024966403
cat__make_gmc,6.283665837311673
cat__make_mercedes benz,4.281742439063919
num__title_status,2.7016207603179736
cat__make_cadillac,0.8861239774822479
cat__make_lexus,0.7383435225622634
cat__make_hyandia,0.0
cat__make_honda,0.0
cat__make_amc,0.0
cat__make_acura,0.0
cat__make_chevy,0.0
cat__make_saturn,0.0
cat__make_mercury,0.0
cat__make_hummer,0.0
cat__make_hyundia,0.0
cat__make_freightliner,0.0
cat__make_buick,0.0
cat__make_fiat,0.0
cat__make_kia,0.0
cat__make_mercedes,0.0
cat__make_jeep,0.0
cat__make_lincoln,0.0
cat__make_maserati,0.0
cat__make_mercedez-benz,0.0
cat__make_international,0.0
cat__make_infiniti,0.0
cat__make_infinity,0.0
cat__make_vw,0.0
cat__make_scion,0.0
cat__make_mazda,0.0
cat__make_mitsubishi,0.0
cat__make_pontiac,0.0
cat__make_porsche,0.0
cat__make_saab,0.0
cat__make_mini,0.0
cat__make_volvo,0.0
cat__make_toyota,0.0
cat__make_suzuki,0.0
cat__make_bmw,-0.27712098747315395
cat__make_volkswagen,-0.9703445156580074
cat__make_tesla,-2.6252193435982916
cat__make_audi,-5.619985314466339
cat__make_jaguar,-118.29357432089236
