feature,importances_mean
num__mileage_num,3495.39072855508
num__cylinders_num,325.45931127315856
num__year_num,199.62801575774043
num__condition,175.3589780872374
cat__make_chevrolet,167.17771606314355
cat__make_dodge,96.84409110205956
cat__make_land rover,80.15505070272638
num__fuel,67.97302677878338
cat__make_chrysler,65.2941575665674
cat__make_subaru,53.87708924045646
cat__make_nissan,53.20742265871691
cat__make_ford,20.278523761140878
cat__make_tesla,17.753017300282636
cat__make_jaguar,13.886994094452575
cat__make_bmw,13.863816400967698
cat__make_audi,7.328988368301907
cat__make_volkswagen,4.237033634281761
cat__make_jeep,3.796589797242632
cat__make_lexus,3.27537727227741
cat__make_gmc,2.338089679676841
num__title_status,0.7657301611751791
cat__make_mercedes-benz,0.25816559729441907
cat__make_acura,0.0
cat__make_cadillac,0.0
cat__make_saab,0.0
cat__make_chevy,0.0
cat__make_buick,0.0
cat__make_infiniti,0.0
cat__make_kia,0.0
cat__make_international,0.0
cat__make_fiat,0.0
cat__make_honda,0.0
cat__make_suzuki,0.0
cat__make_mercedes,0.0
cat__make_lincoln,0.0
cat__make_mazda,0.0
cat__make_hummer,0.0
cat__make_mitsubishi,0.0
cat__make_mercury,0.0
cat__make_mercedes benz,0.0
cat__make_volvo,0.0
cat__make_ram,0.0
cat__make_pontiac,0.0
cat__make_scion,0.0
cat__make_vw,0.0
cat__make_toyota,0.0
cat__make_hyundai,-0.9558739819566199
num__transmission,-14.581500052124511
