feature,importances_mean
num__mileage_num,5397.934530267511
num__year_num,531.4228816240953
num__cylinders_num,497.63198848211925
num__condition,241.63267159199117
cat__make_dodge,170.23106506416025
cat__make_chrysler,145.96735840728425
cat__make_land rover,116.15065822294741
num__fuel,115.71019524594462
cat__make_ford,100.90124110437105
cat__make_subaru,99.62422323713263
cat__make_jaguar,97.11791461398147
cat__make_chevrolet,92.78087466870087
cat__make_nissan,43.82692456022678
num__title_status,17.219027127586923
cat__make_bmw,10.440356972675
num__transmission,9.48422765092123
cat__make_mercedes-benz,4.9651119963989006
cat__make_tesla,4.124509995844801
cat__make_lexus,3.00826265254218
cat__make_volkswagen,1.7716804171657714
cat__make_gmc,0.624158601208228
cat__make_hyundai,0.5115420427046956
cat__make_buick,0.008275685393664389
cat__make_freightliner,0.0
cat__make_cadillac,0.0
cat__make_acura,0.0
cat__make_chevy,0.0
cat__make_fiat,0.0
cat__make_suzuki,0.0
cat__make_maserati,0.0
cat__make_kia,0.0
cat__make_international,0.0
cat__make_hyandia,0.0
cat__make_infiniti,0.0
cat__make_hummer,0.0
cat__make_honda,0.0
cat__make_vw,0.0
cat__make_saab,0.0
cat__make_mercedes,0.0
cat__make_mercedes benz,0.0
cat__make_lincoln,0.0
cat__make_mitsubishi,0.0
cat__make_mini,0.0
cat__make_mercury,0.0
cat__make_pontiac,0.0
cat__make_toyota,0.0
cat__make_scion,0.0
cat__make_ram,-0.06836706393883105
cat__make_volvo,-0.4074848933018075
cat__make_audi,-1.2765570848888728
cat__make_mazda,-4.44138959325087
cat__make_jeep,-41.05336004699798
