feature,importances_mean
num__mileage_num,5921.746498911882
num__cylinders_num,736.5578523042468
num__year_num,459.42826571959887
num__condition,386.6233074068708
cat__make_chevrolet,273.0958791259674
num__fuel,199.7188558070152
cat__make_dodge,138.1367979102808
cat__make_subaru,86.70702493366403
cat__make_jaguar,85.22374151970584
cat__make_ford,60.70678832132317
cat__make_nissan,59.78466028168532
cat__make_land rover,24.037840406871375
num__transmission,13.157593150130742
cat__make_chrysler,11.201037185452241
cat__make_mercedes-benz,10.306646130697164
cat__make_volkswagen,4.507643620579438
cat__make_lexus,4.474559045949218
cat__make_gmc,4.121081409980434
cat__make_bmw,1.6242732914980025
cat__make_tesla,0.7729735106893258
cat__make_ram,0.10412121758622561
cat__make_freightliner,0.0
cat__make_amc,0.0
cat__make_cadillac,0.0
cat__make_acura,0.0
cat__make_saab,0.0
cat__make_pontiac,0.0
cat__make_honda,0.0
cat__make_hyandia,0.0
cat__make_fiat,0.0
cat__make_buick,0.0
cat__make_chevy,0.0
cat__make_hummer,0.0
cat__make_bedrock,0.0
cat__make_mercedes benz,0.0
cat__make_maserati,0.0
cat__make_kia,0.0
cat__make_jeep,0.0
cat__make_international,0.0
cat__make_hyundia,0.0
cat__make_infiniti,0.0
cat__make_suzuki,0.0
cat__make_toyota,0.0
cat__make_mercedes,0.0
cat__make_mercedez-benz,0.0
cat__make_lincoln,0.0
cat__make_mitsubishi,0.0
cat__make_mercury,0.0
cat__make_mini,0.0
cat__make_volvo,0.0
cat__make_vw,0.0
cat__make_mini-t,0.0
cat__make_scion,0.0
cat__make_mazda,-0.032393570536805784
cat__make_hyundai,-1.1042347659706138
cat__make_audi,-1.1571668536902053
num__title_status,-3.240678079870759
