feature,importances_mean
num__mileage_num,5207.586823032986
num__cylinders_num,716.9292065140828
num__condition,406.01271296316133
cat__make_chevrolet,398.0223475501004
num__year_num,364.8348811088187
cat__make_dodge,201.46246108833367
num__fuel,170.32485476215055
cat__make_ford,112.59284408894537
cat__make_jaguar,73.9418359244446
cat__make_subaru,57.75648083139904
cat__make_land rover,57.46425323898425
cat__make_nissan,50.15770435620402
num__transmission,37.50643260255456
cat__make_hyundai,34.037568619984725
cat__make_bmw,21.70606057607447
cat__make_audi,7.111694764860386
cat__make_chrysler,4.332753570179466
cat__make_gmc,4.169286078613413
cat__make_tesla,0.8591069701115884
num__title_status,0.1177159211230446
cat__make_chevy,0.0
cat__make_cadillac,0.0
cat__make_acura,0.0
cat__make_amc,0.0
cat__make_hummer,0.0
cat__make_honda,0.0
cat__make_freightliner,0.0
cat__make_fiat,0.0
cat__make_bedrock,0.0
cat__make_buick,0.0
cat__make_infiniti,0.0
cat__make_hyundia,0.0
cat__make_kia,0.0
cat__make_lincoln,0.0
cat__make_maserati,0.0
cat__make_mazda,0.0
cat__make_mercedes benz,0.0
cat__make_international,0.0
cat__make_jeep,0.0
cat__make_hyandia,0.0
cat__make_toyota,0.0
cat__make_saab,0.0
cat__make_mercedes,0.0
cat__make_mercedez-benz,0.0
cat__make_mitsubishi,0.0
cat__make_pontiac,0.0
cat__make_mini-t,0.0
cat__make_mercury,0.0
cat__make_vw,0.0
cat__make_volvo,0.0
cat__make_scion,0.0
cat__make_suzuki,0.0
cat__make_lexus,-0.10019853090484503
cat__make_ram,-0.21449171367235068
cat__make_mercedes-benz,-0.23721851403975053
cat__make_volkswagen,-0.4637520840466095
