feature,importances_mean
num__mileage_num,6269.536733867106
num__year_num,399.1694352597345
num__cylinders_num,320.9550224226754
cat__make_chevrolet,307.2896379825134
num__condition,291.1321857352893
num__fuel,223.66683000086846
cat__make_subaru,188.7577072015153
cat__make_dodge,184.88515550115417
cat__make_bmw,132.6848727857316
cat__make_tesla,68.73045293888268
num__transmission,63.995353946451544
cat__make_chrysler,57.347196647742294
cat__make_land rover,55.099763439609795
cat__make_gmc,41.88015908477028
cat__make_ram,25.56241723841722
cat__make_jeep,22.091802318988176
cat__make_hyundai,20.466014781421563
cat__make_ford,10.397155147578497
cat__make_nissan,8.455584036878964
cat__make_mercedes-benz,1.4997702632393612
cat__make_volkswagen,0.45002098093250426
cat__make_chevy,0.0
cat__make_freightliner,0.0
cat__make_honda,0.0
cat__make_hummer,0.0
cat__make_cadillac,0.0
cat__make_amc,0.0
cat__make_bedrock,0.0
cat__make_fiat,0.0
cat__make_acura,0.0
cat__make_scion,0.0
cat__make_mini-t,0.0
cat__make_mg,0.0
cat__make_international,0.0
cat__make_hyandia,0.0
cat__make_infinity,0.0
cat__make_infiniti,0.0
cat__make_hyundia,0.0
cat__make_mercury,0.0
cat__make_mercedes,0.0
cat__make_mercedes benz,0.0
cat__make_kia,0.0
cat__make_maserati,0.0
cat__make_lincoln,0.0
cat__make_mazda,0.0
cat__make_lexus,0.0
cat__make_toyota,0.0
cat__make_saturn,0.0
cat__make_saab,0.0
cat__make_mini,0.0
cat__make_mercedez-benz,0.0
cat__make_porsche,0.0
cat__make_pontiac,0.0
cat__make_mitsubishi,0.0
cat__make_vw,0.0
cat__make_utilimaster,0.0
cat__make_suzuki,0.0
cat__make_volvo,-0.8828995846128237
cat__make_buick,-6.5423481999977415
num__title_status,-6.576435558416279
cat__make_audi,-16.416025030183665
cat__make_jaguar,-18.262241765173712
