feature,importances_mean
num__mileage_num,5076.3210600871735
num__cylinders_num,421.3585537145902
num__year_num,259.8925809191581
num__condition,235.06320891975446
cat__make_ford,168.58104415720513
cat__make_dodge,155.23626013489698
cat__make_land rover,115.31734329130381
cat__make_chevrolet,112.8249118172052
num__fuel,100.2340960387788
cat__make_nissan,78.0102770788636
cat__make_subaru,50.25399965738325
cat__make_bmw,22.66556345542808
cat__make_lexus,7.804173499985291
num__transmission,3.415684947445834
cat__make_gmc,2.5640985701069896
cat__make_volkswagen,1.2192133126315183
cat__make_ram,0.6198735044791193
cat__make_audi,0.19492501316790367
cat__make_cadillac,0.0
cat__make_fiat,0.0
cat__make_acura,0.0
cat__make_saturn,0.0
cat__make_saab,0.0
cat__make_chevy,0.0
cat__make_freightliner,0.0
cat__make_buick,0.0
cat__make_amc,0.0
cat__make_honda,0.0
cat__make_hummer,0.0
cat__make_mazda,0.0
cat__make_mercedes,0.0
cat__make_lincoln,0.0
cat__make_maserati,0.0
cat__make_kia,0.0
cat__make_jaguar,0.0
cat__make_infiniti,0.0
cat__make_international,0.0
cat__make_tesla,0.0
cat__make_toyota,0.0
cat__make_mercedes-benz,0.0
cat__make_mercedes benz,0.0
cat__make_pontiac,0.0
cat__make_porsche,0.0
cat__make_mitsubishi,0.0
cat__make_mercury,0.0
cat__make_vw,0.0
cat__make_scion,0.0
cat__make_suzuki,0.0
cat__make_volvo,-0.0212994623655959
cat__make_chrysler,-0.7676049290270385
num__title_status,-2.8158096558689065
cat__make_hyundai,-8.055083081448492
cat__make_jeep,-11.951194207615435
