feature,importances_mean
num__mileage_num,5273.184763880114
num__cylinders_num,491.84679949292814
num__year_num,301.73892024493455
cat__make_chevrolet,262.12305492506505
num__condition,206.4896064783737
num__fuel,120.9928771598286
cat__make_dodge,115.1204017108164
cat__make_jaguar,70.55004414475425
cat__make_ford,64.15356576248719
cat__make_land rover,63.302389328865274
cat__make_nissan,59.87864153128394
cat__make_subaru,49.89823398099766
cat__make_chrysler,48.35845010164121
cat__make_hyundai,21.422492007080244
cat__make_bmw,16.397275805389473
num__transmission,13.216715314651173
num__title_status,4.949099022697283
cat__make_lexus,4.079182634615608
cat__make_audi,2.2550525194133115
cat__make_mercedes-benz,2.0081236072425783
cat__make_volkswagen,1.3753600852422552
cat__make_tesla,0.584366995828941
cat__make_gmc,0.4082912190042407
cat__make_volvo,0.0043913259228247625
cat__make_amc,0.0
cat__make_acura,0.0
cat__make_chevy,0.0
cat__make_fiat,0.0
cat__make_saab,0.0
cat__make_freightliner,0.0
cat__make_cadillac,0.0
cat__make_international,0.0
cat__make_maserati,0.0
cat__make_infiniti,0.0
cat__make_hummer,0.0
cat__make_honda,0.0
cat__make_suzuki,0.0
cat__make_mercedes benz,0.0
cat__make_mazda,0.0
cat__make_mercedes,0.0
cat__make_lincoln,0.0
cat__make_kia,0.0
cat__make_mini,0.0
cat__make_mercury,0.0
cat__make_toyota,0.0
cat__make_ram,0.0
cat__make_pontiac,0.0
cat__make_mitsubishi,0.0
cat__make_vw,0.0
cat__make_scion,0.0
cat__make_buick,-0.2416460002335498
cat__make_jeep,-11.06943739346848
