feature,importances_mean
num__mileage_num,3889.8772506544456
num__cylinders_num,377.8843764749216
num__year_num,212.58498285233753
num__condition,160.74763995238854
cat__make_dodge,149.48550395961382
cat__make_chevrolet,98.79300662031224
cat__make_land rover,94.996557896993
cat__make_nissan,89.38719195347176
num__fuel,56.922570331856924
cat__make_chrysler,50.802142416761626
cat__make_subaru,45.56960831287715
cat__make_ford,36.19437157777584
cat__make_bmw,30.761928866798645
cat__make_jaguar,21.99953674253543
cat__make_tesla,12.029815822573074
num__transmission,11.92396141631516
cat__make_volkswagen,3.50693772956688
cat__make_hyundai,3.4139827466267434
cat__make_lexus,2.8544009813463616
cat__make_jeep,0.8611996479835398
cat__make_gmc,0.5276865771202666
cat__make_mercedes-benz,0.14618817235118514
cat__make_buick,0.0
cat__make_cadillac,0.0
cat__make_acura,0.0
cat__make_mercedes,0.0
cat__make_mazda,0.0
cat__make_fiat,0.0
cat__make_chevy,0.0
cat__make_international,0.0
cat__make_infiniti,0.0
cat__make_hummer,0.0
cat__make_freightliner,0.0
cat__make_suzuki,0.0
cat__make_saab,0.0
cat__make_lincoln,0.0
cat__make_kia,0.0
cat__make_honda,0.0
cat__make_mitsubishi,0.0
cat__make_mercury,0.0
cat__make_mercedes benz,0.0
cat__make_volvo,0.0
cat__make_toyota,0.0
cat__make_pontiac,0.0
cat__make_scion,0.0
cat__make_vw,0.0
cat__make_ram,-0.03724376580425996
num__title_status,-0.34656172967233945
cat__make_audi,-0.34751189418007017
