feature,importances_mean
num__mileage_num,4862.857219775264
num__cylinders_num,641.0283911326794
num__year_num,306.3861661462093
cat__make_chevrolet,281.99772314921574
num__condition,273.93734158452014
num__fuel,228.49723176578132
cat__make_dodge,199.81908778888305
cat__make_ford,106.5086504804818
cat__make_subaru,78.31228432610192
cat__make_land rover,60.068399780311026
cat__make_nissan,47.050217192363014
cat__make_jaguar,22.876724261721527
num__transmission,20.51910693668865
cat__make_hyundai,13.214928752825154
cat__make_chrysler,9.96872208507789
cat__make_bmw,9.244745045524406
num__title_status,7.070307152512487
cat__make_tesla,0.7348259153487561
cat__make_lexus,0.22990529290173073
cat__make_volkswagen,0.04743894708008156
cat__make_volvo,0.001680252801725146
cat__make_acura,0.0
cat__make_bedrock,0.0
cat__make_cadillac,0.0
cat__make_saab,0.0
cat__make_mercedes benz,0.0
cat__make_honda,0.0
cat__make_hummer,0.0
cat__make_fiat,0.0
cat__make_buick,0.0
cat__make_chevy,0.0
cat__make_freightliner,0.0
cat__make_amc,0.0
cat__make_kia,0.0
cat__make_lincoln,0.0
cat__make_jeep,0.0
cat__make_infiniti,0.0
cat__make_international,0.0
cat__make_hyundia,0.0
cat__make_hyandia,0.0
cat__make_suzuki,0.0
cat__make_ram,0.0
cat__make_mercedes,0.0
cat__make_mazda,0.0
cat__make_maserati,0.0
cat__make_mercedez-benz,0.0
cat__make_mini-t,0.0
cat__make_mercury,0.0
cat__make_toyota,0.0
cat__make_scion,0.0
cat__make_pontiac,0.0
cat__make_mitsubishi,0.0
cat__make_vw,0.0
cat__make_audi,-0.2650843486359463
cat__make_gmc,-2.176191720255929
cat__make_mercedes-benz,-4.296101575449848
